tokens,ner_tags
"['Permanent', 'Address', '433', 'Jill', 'Springs', 'New', 'Roberttown,', 'CO', '29158', 'Present', 'Address', '386', 'Shane', 'Harbors', 'Port', 'Lindachester,', 'MA', '36922']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL45', '2051802512', 'Issued', 'on', '28-06-2010', 'Expires', 'on', '10-07-2012']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL23', '9963334018', 'Issued', 'on', '26-08-2016', 'Expires', 'on', '04-09-2008']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'A+', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['KL74', '3585650756', 'Issued', 'on', '09-05-2008', 'Expires', 'on', '15-02-2018']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '407', 'Teresa', 'Lane', 'Apt.', '849', 'Barbaraland,', 'AZ', '87174', 'Present', 'Address', '31647', 'Martin', 'Knoll', 'Apt.', '419', 'New', 'Jessica,', 'GA', '61090']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Permanent', 'Address', '503', 'Linda', 'Locks', 'Carlshire,', 'FM', '94599', 'Present', 'Address', '7242', 'Julie', 'Plain', 'Suite', '969', 'Coxberg,', 'NY', '65187']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Permanent', 'Address', '22691', 'James', 'Mountain', 'Tashatown,', 'TX', '94967', 'Present', 'Address', '514', 'Moore', 'Alley', 'Suite', '828', 'Port', 'Colleenhaven,', 'PA', '26572']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Emergency', 'Contact', '(252)388-0957']","[17, 17, 17]"
